age_m,sex,param,L,M,S
36,F,HT,1.0,96.3,0.04
36,F,WT,-1.211,14.5,0.129
36,M,HT,1.0,97.5,0.038
36,M,WT,-1.289,14.9,0.131
42,F,HT,1.0,100.1,0.04
42,F,WT,-1.202,15.5,0.135
42,M,HT,1.0,101.3,0.039
42,M,WT,-1.35,16.0,0.131
48,F,HT,1.0,103.7,0.04
48,F,WT,-1.192,16.6,0.141
48,M,HT,1.0,104.9,0.039
48,M,WT,-1.382,17.1,0.13
54,F,HT,1.0,107.2,0.041
54,F,WT,-1.182,17.6,0.147
54,M,HT,1.0,108.4,0.04
54,M,WT,-1.379,18.1,0.134
60,F,HT,1.0,110.5,0.042
60,F,WT,-1.17,18.7,0.153
60,M,HT,1.0,111.8,0.041
60,M,WT,-1.369,19.1,0.142
66,F,HT,1.0,113.8,0.042
66,F,WT,-1.157,19.8,0.158
66,M,HT,1.0,115.2,0.041
66,M,WT,-1.384,20.3,0.152
72,F,HT,1.0,117.0,0.043
72,F,WT,-1.142,21.0,0.164
72,M,HT,1.0,118.4,0.042
72,M,WT,-1.416,21.6,0.163
84,F,HT,1.0,123.0195,0.0419
84,F,WT,-1.0642,23.4756,0.1703
84,M,HT,1.0,124.5763,0.0407
84,M,WT,-1.3451,24.4425,0.1739
96,F,HT,1.0,129.3683,0.044
96,F,WT,-1.0484,26.6216,0.1825
96,M,HT,1.0,130.5084,0.0422
96,M,WT,-1.2241,27.5948,0.1853
108,F,HT,1.0,135.2446,0.0457
108,F,WT,-0.9785,29.9233,0.194
108,M,HT,1.0,136.27,0.0441
108,M,WT,-1.1007,30.82,0.1969
120,F,HT,1.0,140.7839,0.0471
120,F,WT,-0.8443,33.5526,0.205
120,M,HT,1.0,141.4685,0.0457
120,M,WT,-0.9733,34.2322,0.2077
132,F,HT,1.0,147.1313,0.0472
132,F,WT,-0.6766,37.8737,0.2133
132,M,HT,1.0,146.749,0.0473
132,M,WT,-0.841,38.1082,0.2164
144,F,HT,1.0,153.8132,0.0444
144,F,WT,-0.5461,42.8172,0.2095
144,M,HT,1.0,152.9406,0.0499
144,M,WT,-0.7093,42.7117,0.2205
156,F,HT,1.0,159.0773,0.0406
156,F,WT,-0.546,47.6669,0.1936
156,M,HT,1.0,160.2044,0.0511
156,M,WT,-0.6043,48.1026,0.2164
168,F,HT,1.0,162.2376,0.038
168,F,WT,-0.7062,51.3003,0.1742
168,M,HT,1.0,167.2116,0.0481
168,M,WT,-0.5548,53.7776,0.2034
180,F,HT,1.0,163.7435,0.0368
180,F,WT,-0.9209,53.6394,0.1589
180,M,HT,1.0,172.4996,0.043
180,M,WT,-0.5641,59.0021,0.1864
192,F,HT,1.0,164.3511,0.0363
192,F,WT,-1.0647,54.958,0.1506
192,M,HT,1.0,175.7266,0.0392
192,M,WT,-0.6093,63.3307,0.1716
204,F,HT,1.0,164.7437,0.036
204,F,WT,-1.1518,55.7267,0.1461
204,M,HT,1.0,177.6036,0.037
204,M,WT,-0.6625,66.8807,0.1601
216,F,HT,1.0,165.0598,0.0358
216,F,WT,-1.2035,56.1779,0.1434
216,M,HT,1.0,178.6756,0.0357
216,M,WT,-0.711,69.8692,0.151
